state,total_hospitals,rated_hospitals,emergency_hospitals,emergency_service_pct,missing_ratings,missing_rating_pct,avg_rating
AK,22,9,22,100.0,13,59.09,2.89
AL,90,79,86,95.56,11,12.22,3.05
AR,75,55,75,100.0,20,26.67,2.84
AS,1,0,1,100.0,1,100.0,
AZ,80,54,65,81.25,26,32.5,2.94
CA,343,290,297,86.59,53,15.45,2.84
CO,78,51,75,96.15,27,34.62,3.45
CT,31,28,28,90.32,3,9.68,2.71
DC,8,7,8,100.0,1,12.5,1.43
DE,7,6,7,100.0,1,14.29,3.67
FL,187,169,181,96.79,18,9.63,2.66
GA,133,108,129,96.99,25,18.8,2.94
GU,2,1,2,100.0,1,50.0,3.0
HI,23,13,22,95.65,10,43.48,3.31
IA,116,71,116,100.0,45,38.79,3.39
ID,41,19,37,90.24,22,53.66,3.53
IL,180,159,169,93.89,21,11.67,3.13
IN,120,108,110,91.67,12,10.0,3.48
KS,137,58,120,87.59,79,57.66,3.34
KY,94,83,92,97.87,11,11.7,2.98
LA,121,79,101,83.47,42,34.71,3.13
MA,64,57,59,92.19,7,10.94,3.19
MD,49,0,45,91.84,49,100.0,
ME,33,32,32,96.97,1,3.03,3.44
MI,131,115,120,91.6,16,12.21,3.19
MN,131,79,122,93.13,52,39.69,3.53
MO,112,86,108,96.43,26,23.21,3.01
MP,1,0,1,100.0,1,100.0,
MS,95,63,85,89.47,32,33.68,2.78
MT,62,23,61,98.39,39,62.9,3.35
NC,107,94,103,96.26,13,12.15,3.11
ND,44,16,44,100.0,28,63.64,3.19
NE,89,48,83,93.26,41,46.07,3.29
NH,26,25,26,100.0,1,3.85,3.48
NJ,66,64,63,95.45,2,3.03,2.55
NM,41,31,38,92.68,10,24.39,2.71
NV,35,25,33,94.29,10,28.57,2.4
NY,171,153,161,94.15,18,10.53,2.32
OH,168,140,150,89.29,28,16.67,3.38
OK,124,81,120,96.77,43,34.68,3.15
OR,60,52,59,98.33,8,13.33,3.15
PA,171,147,153,89.47,24,14.04,3.01
PR,52,9,50,96.15,43,82.69,2.11
RI,11,11,11,100.0,0,0.0,3.27
SC,60,52,57,95.0,8,13.33,3.19
SD,60,14,53,88.33,46,76.67,3.86
TN,107,93,102,95.33,14,13.08,2.87
TX,411,264,389,94.65,147,35.77,3.23
UT,46,29,43,93.48,17,36.96,3.45
VA,86,76,82,95.35,10,11.63,3.01
VI,2,2,2,100.0,0,0.0,2.0
VT,14,12,14,100.0,2,14.29,3.25
WA,91,66,88,96.7,25,27.47,3.02
WI,126,108,123,97.62,18,14.29,3.61
WV,49,37,48,97.96,12,24.49,2.76
WY,28,16,26,92.86,12,42.86,3.0
